"Drug Name","Active Ingredient","Form;Route","Appl. No.","Company","Date","Link"
"Actonel With Calcium (Copackaged)","Calcium Carbonate; Risedronate Sodium","TABLET;ORAL","021823","WARNER CHILCOTT","04/08/2015","http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/021823s011lbl.pdf#page=27"
"Actoplus MET","Metformin Hydrochloride; Pioglitazone Hydrochloride","TABLET;ORAL","021842","TAKEDA PHARMS USA","12/21/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021842s022lbl.pdf#page=41"
"Actoplus MET XR","Metformin Hydrochloride; Pioglitazone Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","022024","TAKEDA PHARMS USA","12/21/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/022024s014lbl.pdf#page=41"
"Actos","Pioglitazone Hydrochloride","TABLET;ORAL","021073","TAKEDA PHARMS USA","12/21/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021073s049lbl.pdf#page=35"
"Adasuve","Loxapine","POWDER;INHALATION","022549","ALEXZA PHARMS","02/01/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022549s010lbl.pdf#page=28"
"Adderall 10","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","TABLET;ORAL","011522","TEVA WOMENS","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/011522s045lbl.pdf#page=15"
"Adderall 12.5","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","TABLET;ORAL","011522","TEVA WOMENS","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/011522s045lbl.pdf#page=15"
"Adderall 15","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","TABLET;ORAL","011522","TEVA WOMENS","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/011522s045lbl.pdf#page=15"
"Adderall 20","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","TABLET;ORAL","011522","TEVA WOMENS","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/011522s045lbl.pdf#page=15"
"Adderall 30","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","TABLET;ORAL","011522","TEVA WOMENS","02/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/011522s044lbl.pdf#page=15"
"Adderall 5","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","TABLET;ORAL","011522","TEVA WOMENS","02/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/011522s044lbl.pdf#page=15"
"Adderall 7.5","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","TABLET;ORAL","011522","TEVA WOMENS","02/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/011522s044lbl.pdf#page=15"
"Adderall XR 10","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021303s038lbl.pdf#page=22"
"Adderall XR 15","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021303s038lbl.pdf#page=22"
"Adderall XR 20","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021303s038lbl.pdf#page=22"
"Adderall XR 25","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021303s038lbl.pdf#page=22"
"Adderall XR 30","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","07/03/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021303s034lbl.pdf#page=24"
"Adderall XR 5","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","07/03/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021303s034lbl.pdf#page=24"
"Addyi","Flibanserin","TABLET;ORAL","022526","SPROUT PHARMS","04/11/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022526s009lbl.pdf#page=23"
"Adempas","Riociguat","TABLET;ORAL","204819","BAYER HLTHCARE","09/10/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/204819s015lbl.pdf#page=24"
"Adhansia XR","Methylphenidate Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","212038","PURDUE PHARMA LP","06/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/212038s002lbl.pdf#page=25"
"Adlyxin","Lixisenatide","SOLUTION;SUBCUTANEOUS","208471","SANOFI-AVENTIS US","09/28/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208471s007lbl.pdf#page=24"
"Aduhelm","Aducanumab-Avwa","INJECTABLE; INJECTION","761178","BIOGEN INC","08/30/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761178s011lbl.pdf#page=26"
"Adzenys ER","Amphetamine","SUSPENSION, EXTENDED RELEASE;ORAL","204325","NEOS THERAPS INC","02/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/204325s003lbl.pdf#page=26"
"Adzenys XR-Odt","Amphetamine","TABLET, ORALLY DISINTEGRATING, EXTENDED RELEASE;ORAL","204326","NEOS THERAPS","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204326s011lbl.pdf#page=27"
"Afrezza","Insulin Recombinant Human","POWDER;INHALATION","022472","MANNKIND","02/03/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022472s023lbl.pdf#page=19"
"Alkindi Sprinkle","Hydrocortisone","GRANULE;ORAL","213876","ETON","12/23/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/213876s002lbl.pdf#page=14"
"Alvaiz","Eltrombopag Choline","TABLET;ORAL","216677","TEVA PHARMACEUTICALS","11/29/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216774s000lbl.pdf#page=30"
"Ambien","Zolpidem Tartrate","TABLET;ORAL","019908","SANOFI AVENTIS US","02/23/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/019908s40s044s047lbl.pdf#page=24"
"Ambien CR","Zolpidem Tartrate","TABLET, EXTENDED RELEASE;ORAL","021774","SANOFI AVENTIS US","02/23/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021774s021s025s028lbl.pdf#page=27"
"Amjevita","Adalimumab-Atto","INJECTABLE;INJECTION","761024","AMGEN INC","08/14/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761024s015lbl.pdf#page=50"
"Ampyra","Dalfampridine","TABLET, EXTENDED RELEASE;ORAL","022250","ACORDA","11/18/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/022250s019lbl.pdf#page=13"
"Anafranil","Clomipramine Hydrochloride","CAPSULE;ORAL","019906","SPECGX LLC","05/10/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/019906s043lbl.pdf#page=27"
"Anaprox","Naproxen Sodium","TABLET;ORAL","018164","ATNAHS PHARMA US","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/017581s115,018164s065,020067s024lbl.pdf#page=23"
"Anaprox DS","Naproxen Sodium","TABLET;ORAL","018164","ATNAHS PHARMA US","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/017581s115,018164s065,020067s024lbl.pdf#page=23"
"Androgel","Testosterone","GEL;TRANSDERMAL","021015","ABBVIE","05/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021015s045lbl.pdf#page=23"
"Androgel","Testosterone","GEL, METERED;TRANSDERMAL","021015","ABBVIE","05/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021015s045lbl.pdf#page=23"
"Androgel","Testosterone","GEL, METERED;TRANSDERMAL","022309","ABBVIE","05/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022309s020lbl.pdf#page=25"
"Androgel","Testosterone","GEL;TRANSDERMAL","022309","ABBVIE","05/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022309s020lbl.pdf#page=25"
"Ansaid","Flurbiprofen","TABLET;ORAL","018766","PHARMACIA AND UPJOHN","05/09/2016","http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/018766s015MedGuide.pdf"
"Apadaz","Acetaminophen; Benzhydrocodone Hydrochloride","TABLET;ORAL","208653","KVK TECH INC","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208653s008lbl.pdf#page=40"
"Aplenzin","Bupropion Hydrobromide","TABLET, EXTENDED RELEASE;ORAL","022108","BAUSCH","03/04/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022108s022lbl.pdf#page=29"
"Aptensio XR","Methylphenidate Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","205831","RHODES PHARMS","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/205831s008lbl.pdf#page=19"
"Aptiom","Eslicarbazepine Acetate","TABLET;ORAL","022416","SUNOVION PHARMS INC","03/15/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022416s011lbl.pdf#page=25"
"Aptryxol","Desvenlafaxine","TABLET,EXTENDED RELEASE;ORAL","205583","SUN PHARMACEUTICAL","08/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/205583s014lbl.pdf#page=30"
"Aranesp","Darbepoetin Alfa","VIAL; INTRAVENOUS","103951","AMGEN","01/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/103951s5377lbl.pdf#page=25"
"Aranesp","Darbepoetin Alfa","VIAL; SUBCUTANEOUS","103951","AMGEN","01/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/103951s5377lbl.pdf#page=25"
"Arcapta Neohaler","Indacaterol Maleate","POWDER;INHALATION","022383","NOVARTIS","07/30/2021","http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/022383s000MedG.pdf"
"Arikayce Kit","Amikacin Sulfate","SUSPENSION, LIPOSOMAL;INHALATION","207356","INSMED INC","10/19/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/207356s004lbl.pdf#page=15"
"Aristada","Aripiprazole LAuroxil","SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR","207533","ALKERMES INC","03/30/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/207533s017,209830s005lbl.pdf#page=36"
"Aristada Initio Kit","Aripiprazole LAuroxil","SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR","209830","ALKERMES INC","03/30/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/207533s017,209830s005lbl.pdf#page=72"
"Arthrotec","Diclofenac Sodium; Misoprostol","TABLET, DELAYED RELEASE;ORAL","020607","PFIZER","08/26/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/020607s040lbl.pdf#page33"
"Arymo ER","Morphine Sulfate","TABLET, EXTENDED RELEASE;ORAL","208603","ZYLA","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/208603s005lbl.pdf#page=34"
"Astagraf XL","Tacrolimus","CAPSULE, EXTENDED RELEASE;ORAL","204096","ASTELLAS","09/14/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204096s011lbl.pdf#page=33"
"Astagraf XL","Tacrolimus","CAPSULE, EXTENDED RELEASE;ORAL","050709","ASTELLAS","11/22/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050708s054,050709s047,204096s010lbl.pdf#page=91"
"Astagraf XL","Tacrolimus","CAPSULE, EXTENDED RELEASE;ORAL","050708","ASTELLAS","11/22/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050708s054,050709s047,204096s010lbl.pdf#page=91"
"Astagraf XL","Tacrolimus","CAPSULE, EXTENDED RELEASE;ORAL","210115","ASTELLAS","11/22/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/210115s006lbl.pdf#page=33"
"Atelvia","Risedronate Sodium","TABLET, DELAYED RELEASE;ORAL","022560","APIL","08/18/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022560s011lbl.pdf#page=24"
"Ativan","Lorazepam","TABLET;ORAL","017794","BAUSCH","01/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/017794s049lbl.pdf#page=14"
"Aubagio","Teriflunomide","TABLET;ORAL","202992","SANOFI AVENTIS US","04/30/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/202992s013s015lbl.pdf#page=25"
"Austedo","Deutetrabenazine","TABLET;ORAL","208082","TEVA BRANDED PHARM","05/04/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/208082s011lbl.pdf#page=25"
"Austedo","Deutetrabenazine","TABLET;ORAL","216354","TEVA NEUROSCIENCE","02/17/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216354s000lbl.pdf#page=29"
"Auvelity","Bupropion; Dextromethorphan","TABLET, EXTENDED RELEASE; ORAL","215430","AXSOME INC","08/18/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/215430s000lblCorrect3.pdf#page=25"
"Avandamet","Metformin Hydrochloride; Rosiglitazone Maleate","TABLET;ORAL","021410","SB PHARMCO","04/05/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021410s040lbl.pdf#page=38"
"Avandaryl","Glimepiride; Rosiglitazone Maleate","TABLET;ORAL","021700","SB PHARMCO","04/27/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217006s000lbl.pdf#page=39"
"Avandia","Rosiglitazone Maleate","TABLET;ORAL","021071","WOODWARD","02/05/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021071s052lbl.pdf#page=38"
"Aveed","Testosterone Undecanoate","INJECTABLE;INTRAMUSCULAR","022219","ENDO PHARMS INC","08/16/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022219s014lbl.pdf#page=23"
"Avelox","Moxifloxacin Hydrochloride","TABLET;ORAL","021085","BAYER HLTHCARE","07/26/2016","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021085s066,021277s062lbl.pdf#page=33"
"Avelox in Sodium Chloride 0.8% in Plastic Container","Moxifloxacin Hydrochloride","SOLUTION;INTRAVENOUS","021277","BAYER HLTHCARE","09/27/2016","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021085s066,021277s062lbl.pdf#page=33"
"Avinza","Morphine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","021260","KING PHARMS LLC","06/26/2015","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM311346.pdf"
"Avonex","Interferon Beta-1a","VIAL","103628","BIOGEN","07/28/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/103628s5269lbl.pdf#page=22"
"Avsola","Infliximab-Axxq","INJECTABLE;INJECTION","761086","AMGEN INC","09/09/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761086s000lbl.pdf#page=48"
"Axiron","Testosterone","SOLUTION, METERED;TRANSDERMAL","022504","ELI LILLY AND CO","07/13/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/022504s016lbl.pdf#page=15"
"Azstarys","Dexmethylphenidate Hydrochloride; Serdexmethylphenidate Chloride","CAPSULE;ORAL","212994","COMMAVE THERAP","03/02/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/212994s000lbl.pdf#page=26"
"Banzel","Rufinamide","SUSPENSION;ORAL","201367","EISAI INC","05/30/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/201367Orig1s011lbl.pdf#page=19"
"Banzel","Rufinamide","TABLET;ORAL","021911","EISAI INC","11/28/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021911s017,201367s008lbl.pdf#page=19"
"Bavencio","Avelumab","INJECTABLE;INTRAVENOUS","761078","EMD SERONO INC","05/09/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/761078s000lbl.pdf#page=23"
"Bavencio","Avelumab","INJECTABLE;INJECTION","761049","EMD SERONO INC","09/06/2023","http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761049s015lbl.pdf#page=36"
"Baxdela","Delafloxacin Meglumine","TABLET;ORAL","208610","MELINTA","06/19/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/208610s007,208611s006lbl.pdf#page=28"
"Baxdela","Delafloxacin Meglumine","POWDER;INTRAVENOUS","208611","MELINTA","12/01/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208611s007lbl.pdf#page=28"
"Belbuca","Buprenorphine Hydrochloride","FILM;BUCCAL","207932","BDSI","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/207932s023lbl.pdf#page=40"
"Belsomra","Suvorexant","TABLET;ORAL","204569","MERCK SHARP DOHME","03/25/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/204569s008lbl.pdf#page=23"
"Benlysta","Belimumab","INJECTABLE;INJECTION","761043","GLAXOSMITHKLINE LLC","02/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125370s079,761043s022lbl.pdf#page=41"
"Benlysta","Belimumab","INJECTABLE; INJECTION","125370","HUMAN GENOME SCIENCES INC.","02/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125370s079,761043s022lbl.pdf#page=41"
"Besremi","Ropeginterferon Alfa-2b-Njft","INJECTABLE;SUBCUTANEOUS","761166","PHARMAESSENTIA CORP","11/12/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/761166s000lbl.pdf#page=18"
"Betaseron","Interferon Beta-1b","VIAL; SUBCUTANEOUS","103471","BAYER HEALTHCARE PHARMS","07/28/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/103471s5202lbl.pdf#page=19"
"Bevyxxa","Betrixaban","CAPSULE;ORAL","208383","PORTOLA PHARMS INC","08/24/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/208383s000lbl.pdf#page=20"
"Bimzelx","Bimekizumab-Bkzx","INJECTABLE; SUBCUTANEOUS","761151","UCB INC","10/17/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761151s000lbl.pdf#page=15"
"Binosto","Alendronate Sodium","TABLET, EFFERVESCENT;ORAL","202344","ASCEND THERAPS US","10/13/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/202344s008lbl.pdf#page=33"
"Blenrep","Belantamab Mafodotin-Blmf","INJECTABLE;INTRAVENOUS","761158","GLAXOSMITHKLINE","02/28/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761158s006lbl.pdf#page=22"
"Blincyto","Blinatumomab","INJECTABLE;INJECTION","125557","AMGEN","06/20/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125557s023s026lbl.pdf#page=41"
"Boniva","Ibandronate Sodium","INJECTABLE;INTRAVENOUS","021858","ROCHE","01/11/2022","http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/021858s022lbl.pdf#page=18"
"Boniva","Ibandronate Sodium","TABLET;ORAL","021455","HOFFMANN LA ROCHE","12/07/2016","http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/021455s021lbl.pdf#page=19"
"Bonsity","Teriparatide","SOLUTION;SUBCUTANEOUS","211939","ALVOGEN","11/16/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/211939s004lbl.pdf#page=23"
"Botox","Onabotulinumtoxina","VIAL; SINGLE-USE","103000","ALLERGAN","08/10/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/103000s5327lbl.pdf#page=49"
"Botox Cosmetic","Onabotulinumtoxina","VIAL; SINGLE-USE","103000","ALLERGAN","08/10/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/103000s5327lbl.pdf#page=49"
"Braftovi","Encorafenib","CAPSULE;ORAL","210496","ARRAY BIOPHARMA INC","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/210496s015lbl.pdf#page=30"
"Brenzavvy","Bexagliflozin","TABLET;ORAL","214373","THERACOS BIO","09/12/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/214373s001lbl.pdf#page=22"
"Brexafemme","Ibrexafungerp","TABLET;ORAL","214900","SCYNEXIS","11/30/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/214900s002lbl.pdf#page=18"
"Brilinta","Ticagrelor","TABLET;ORAL","022433","ASTRAZENECA","05/09/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022433s034lbl.pdf#page=35"
"Brisdelle","Paroxetine Mesylate","CAPSULE;ORAL","204516","SEBELA IRELAND LTD","08/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204516s013lbl.pdf#page=18"
"Briumvi","Ublituximab-Xiiy","INJECTABLE;INJECTION","761238","TG Therapeutics","12/28/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761238s000lbl.pdf#page=18"
"Briviact","Brivaracetam","TABLET;ORAL","205836","UCB INC","05/17/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/205836s014,205837s011,205838s011lbl.pdf#page=18"
"Briviact","Brivaracetam","SOLUTION;INTRAVENOUS","205837","UCB INC","05/17/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/205836s014,205837s011,205838s011lbl.pdf#page=18"
"Briviact","Brivaracetam","SOLUTION;ORAL","205838","UCB INC","05/17/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/205836s014,205837s011,205838s011lbl.pdf#page=18"
"Brixadi","Buprenorphine","INJECTION, EXTENDED RELEASE;SUBCUTANEOUS","210136","BRAEBURN","05/23/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/210136s000lbl.pdf#page=52"
"Brovana","Arformoterol Tartrate","SOLUTION;INHALATION","021912","SUNOVION","05/29/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/021912s013lbl.pdf#page=22"
"Bunavail","Buprenorphine Hydrochloride; Naloxone Hydrochloride","FILM;BUCCAL","205637","BDSI","06/17/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/205637s023s024lbl.pdf#page=33"
"Butrans","Buprenorphine","FILM, EXTENDED RELEASE;TRANSDERMAL","021306","PURDUE PHARMA LP","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021306s041lbl.pdf#page=45"
"Bydureon","Exenatide Synthetic","FOR SUSPENSION, EXTENDED RELEASE;SUBCUTANEOUS","022200","ASTRAZENECA AB","12/21/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022200s034lbl.pdf#page=37"
